File name,Date of creation,Latitude,Longitude,Earthquake,Country,Date and time of earthquake,Magnitude of earthquake,Photo taken by,Building name,Building address,Building occupancy,Structure category,Number of storeys,Main material,Primary structural system,Damage grade,Building age,Regular/Irregular,Site
DSC00019.JPG,2010:03:28 13:43:30,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Ali, N/A, N/A, Historical, Building, 4, Masonry, Wall, 1, N/A, Regular, Flat
DSC00020.JPG,2010:03:28 13:50:21,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Ali, N/A, N/A, Residential, Building, 2, Masonry, Wall, Non-structural damage, N/A, Regular, Flat
DSC00021.JPG,2010:03:28 13:50:33,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Ali, N/A, N/A, Residential, Building, 2, Masonry, Wall, Non-structural damage, N/A, Regular, Flat
DSC00022.JPG,2010:03:28 13:52:34,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Ali, N/A, N/A, Commercial, Building, 1, Masonry, Wall, 2, N/A, Regular, Flat
DSC00023.JPG,2010:03:28 13:53:34,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Ali, N/A, N/A, Historical, Building, 3, Masonry, Wall, Non-structural damage, N/A, Regular, Flat
DSC00024.JPG,2010:03:28 13:55:00,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Ali, N/A, N/A, Residential, Building, 2, Masonry, Wall, 1, N/A, Regular, Flat
DSC00025.JPG,2010:03:28 13:55:12,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Ali, N/A, N/A, Residential, Building, 2, Masonry, Wall, 1, N/A, Regular, Flat
DSC00026.JPG,2010:03:28 13:55:31,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Ali, N/A, N/A, Historical, Building, 3, Masonry, Wall, Non-structural damage, N/A, Regular, Flat
DSC00028.JPG,2010:03:28 13:56:24,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Ali, N/A, N/A, Residential, Building, 2, Masonry, Wall, 1, N/A, Regular, Flat
DSC00030.JPG,2010:03:28 14:01:57,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Ali, N/A, N/A, Residential, Building, 2, Masonry, Wall, Non-structural damage, N/A, Regular, Flat
