File name,Date of creation,Latitude,Longitude,Earthquake,Country,Date and time of earthquake,Magnitude of earthquake,Photo taken by,Building name,Building address,Building occupancy,Structure category,Number of storeys,Main material,Primary structural system,Damage grade,Building age,Regular/Irregular,Site
RIMG0494.JPG,2010:03:27 11:22:49,-33.454819433333334,-70.60002776666667, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Tristan, N/A, N/A, Residential, Building, 2, Masonry, Wall, 2, N/A, Regular, Flat
RIMG0730.JPG,2010:03:28 17:54:14,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Tristan, N/A, N/A, Historical, Building, 1, Masonry, Wall, 3, N/A, Regular, Flat
RIMG0731.JPG,2010:03:28 17:54:27,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Tristan, N/A, N/A, Historical, Building, 1, Masonry, Wall, 3, N/A, Regular, Flat
RIMG0732.JPG,2010:03:28 17:54:34,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Tristan, N/A, N/A, Historical, Building, 1, Masonry, Wall, 3, N/A, Regular, Flat
RIMG0733.JPG,2010:03:28 17:54:41,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Tristan, N/A, N/A, Historical, Building, 1, Masonry, Wall, 3, N/A, Regular, Flat
RIMG0734.JPG,2010:03:28 17:54:45,NA,NA, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Tristan, N/A, N/A, Historical, Building, 1, Masonry, Wall, 3, N/A, Regular, Flat
RIMG0737.JPG,2010:03:28 17:55:54,-33.039341666666665,-71.60099443333333, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Tristan, N/A, N/A, Historical, Building, 1, Masonry, Wall, 3, N/A, Regular, Flat
RIMG0738.JPG,2010:03:28 17:56:23,-33.03942776666667,-71.60079443333333, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Tristan, N/A, N/A, Historical, Building, 1, Masonry, Wall, 3, N/A, Regular, Flat
RIMG0762.JPG,2010:03:29 14:33:25,-34.07023055,-70.76044166666667, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Tristan, N/A, N/A, Governmental, Infrastructure, -, Concrete, Other, 4, N/A, Regular, Sloping
RIMG0777.JPG,2010:03:29 14:36:11,-34.112277766666665,-70.78036943333333, Chile 2010, Chile, 27th February 2010 at 6.34 am UTC, 8.8, Tristan, N/A, N/A, Governmental, Infrastructure, -, Concrete, Other, Non-structural damage, N/A, Regular, Sloping
