File name,Date of creation,Latitude,Longitude,Earthquake,Country,Date and time of earthquake,Magnitude of earthquake,Photo taken by,Building name,Building address,Building occupancy,Structure category,Number of storeys,Main material,Primary structural system,Damage grade,Building age,Regular/Irregular,Site
DSCN3211.JPG,2016:06:01 12:14:33,-0.46097166666666667,-80.45772, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Governmental, Bridge, -, Timber and Steel Cable, Suspension bridge, 4, N/A, Horizontal and Vertical Irregularity, Flat
DSCN3212.JPG,2016:06:01 12:14:41,-0.4609666666666667,-80.45773333333334, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Governmental, Bridge, -, Timber and Steel Cable, Suspension bridge, 4, N/A, Horizontal and Vertical Irregularity, Flat
DSCN3213.JPG,2016:06:01 12:14:59,-0.46095,-80.45772833333334, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Governmental, Bridge, -, Timber and Steel Cable, Suspension bridge, 4, N/A, Horizontal and Vertical Irregularity, Flat
DSCN3214.JPG,2016:06:01 12:17:04,-0.46133833333333335,-80.45757166666667, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Governmental, Bridge, -, Timber and Steel Cable, Suspension bridge, 4, N/A, Horizontal and Vertical Irregularity, Flat
DSCN3536.JPG,2016:06:02 15:31:41,0.069645,-80.0558, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Residential, Building, 1, Timber, Timber frame, Non-structural damage, N/A, Regular, Flat
DSCN3539.JPG,2016:06:02 15:32:07,0.06952166666666666,-80.05576666666667, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Commercial, Building, 2, Concrete, Frame RC with timber, Non-structural damage, N/A, Regular, Flat
DSCN3540.JPG,2016:06:02 15:32:29,0.069435,-80.05573666666666, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Residential, Building, 1, Timber, Timber Frame, Non-structural damage, N/A, Regular, Flat
DSCN3541.JPG,2016:06:02 15:32:35,0.0694,-80.05572166666667, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Residential, Building, 1, Concrete, RC Frame, 5, N/A, Vertical irregularity, Flat
DSCN3542.JPG,2016:06:02 15:32:39,0.0694,-80.05572333333333, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Commercial, Building, 1, Timber, Timber Frame, Non-structural damage, N/A, Regular, Flat
DSCN3543.JPG,2016:06:02 15:33:07,0.069245,-80.05564833333334, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Residential, Wall, N/A, Other, Frame, 1, N/A, Regular, Steeply slooping
DSCN3544.JPG,2016:06:02 15:33:27,0.069205,-80.05563333333333, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Residential, Building, 2, Concrete, RC Frame, 4, N/A, Horizontal and vertical irregularity, Flat
DSCN3546.JPG,2016:06:02 15:34:02,0.06909,-80.055575, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, Terpel Petrol Station, N/A, Commercial, Building, 1, Steel, Frame, Non-structural damage, N/A, Regular, Flat
DSCN3548.JPG,2016:06:02 15:34:31,0.06893833333333334,-80.05549166666667, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, Terpel Petrol Station, N/A, Commercial, Building, 2, Concrete, Frame, Non-structural damage, N/A, Regular, Flat
DSCN3549.JPG,2016:06:02 15:34:51,0.06876833333333333,-80.05543333333334, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, Terpel Petrol Station, N/A, Commercial, Building, 1, Steel, Frame, Non-structural damage, N/A, Regular, Flat
