File name,Date of creation,Latitude,Longitude,Earthquake,Country,Date and time of earthquake,Magnitude of earthquake,Photo taken by,Building name,Building address,Building occupancy,Structure category,Number of storeys,Main material,Primary structural system,Damage grade,Building age,Regular/Irregular,Site
thumb_P5280754_1024.jpg,NA,NA,NA, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Commercial, Building, 1, Masonry, Wall, 4, N/A, Regular, Flat
thumb_P5280755_1024.jpg,NA,NA,NA, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Commercial, Building, 1, Masonry, Wall, 4, N/A, Regular, Flat
thumb_P5280756_1024.jpg,NA,NA,NA, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Commercial, Building, 1, Masonry, Wall, 4, N/A, Regular, Flat
thumb_P5280757_1024.jpg,NA,NA,NA, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Commercial, Building, 1, Masonry, Wall, 4, N/A, Regular, Flat
thumb_P5280760_1024.jpg,NA,NA,NA, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Other, Building, 4, Concrete, RC Frame, 5, N/A, Horizontal irregularity, Flat
thumb_P5290792_1024.jpg,NA,NA,NA, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Geotechnical structure, Wall, N/A, Masonry, Wall, 5, N/A, Vertical irregularity, Steeply slooping
thumb_P5290793_1024.jpg,NA,NA,NA, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Geotechnical structure, Wall, N/A, Masonry, Wall, 5, N/A, Vertical irregularity, Steeply slooping
thumb_P5290794_1024.jpg,NA,NA,NA, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Geotechnical structure, Wall, N/A, Masonry, Wall, 5, N/A, Vertical irregularity, Steeply slooping
thumb_P5290795_1024.jpg,NA,NA,NA, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Geotechnical structure, Wall, N/A, Masonry, Wall, 5, N/A, Vertical irregularity, Steeply slooping
thumb_P5290799_1024.jpg,NA,NA,NA, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Other, Getechnical infrastructure, N/A, Steel, Other, Non-structural damage, N/A, Regular, Flat
thumb_P5290800_1024.jpg,NA,NA,NA, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Other, Geotechnical structure, N/A, Other, Other, 5, N/A, Regular, Steeply slooping
thumb_P5290801_1024.jpg,NA,NA,NA, Ecuador 2016, Ecuador, 16th April 2016 at 23:58 UTC, 7.8, Harriette, N/A, N/A, Other, Geotechnical structure, N/A, Other, Other, 5, N/A, Regular, Steeply slooping
